title_english,Action,Girls Love,Boys Love,Adventure,Avant Garde,Erotica,Gourmet,Slice of Life,Mystery,Horror,Drama,Award Winning,Sci-Fi,Fantasy,Supernatural,Comedy,Sports,Hentai,Suspense,Ecchi,Romance
Shaman King,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
X - The Movie,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
X,1,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0
Negima!,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1
Maria Watches Over Us,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
The Melody of Oblivion,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
"Now and Then, Here and There",0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
Peace Maker Kurogane,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pita-Ten,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Power Stone,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
Princess Mononoke,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
RahXephon,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1
Samurai 7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Scrapped Princess,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
s-CRY-ed,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
Lunar Legend Tsukihime,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
Slam Dunk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Strange Dawn,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Tactics,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
Tenjho Tenge,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
Tokyo Underground,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
Triangle Heart: Sweet Songs Forever,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Tsubasa RESERVoir CHRoNiCLE,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Ultra Maniac,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Ultra Maniac OVA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1
Vandread,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Vandread: The Second Stage,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
The Vision of Escaflowne,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1
Whistle!,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Xenosaga The Animation,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Initial D First Stage,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Initial D Second Stage,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Initial D Third Stage,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
Masquerade,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
Love Hina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Love Hina Again,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
Love Hina Christmas Movie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Love Hina Spring Movie,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Maburaho,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
Macross Zero,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Please Teacher!,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
Please Twins!,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
Rizelmine,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1
Speed Grapher,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0
Spirited Away,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Cheeky Angel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
Video Girl Ai,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
Wolf's Rain,1,0,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0
Words Worth,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Yumeria,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
