title_english,score,scored_by
Ace of Diamond,8.11,116779.0
Ace of Diamond Act II,8.27,46013.0
Ace of Diamond OVA,7.59,8079.0
Ace of Diamond: Second Season,8.3,77556.0
Ace of Diamond: Second Season OVA,7.62,5024.0
Ace wo Nerae! Final Stage,6.78,1237.0
Acerola-chan,5.32,132.0
Acnes no Uta,5.3,110.0
Action Heroine Cheer Fruits,6.51,4840.0
Active Raid,5.85,22064.0
Active Raid Second,6.32,8358.0
Actors: Songs Connection,6.3,5771.0
"Actually, I am...",6.83,129162.0
Ad Lib Anime Kenkyuujo,5.83,229.0
Ad Meliora,6.43,699.0
Adachi and Shimamura,7.09,77115.0
Adachi to Shimamura Mini Anime,5.78,684.0
Adachi-ga Hara,5.96,1107.0
Adam's Sweet Agony,6.91,2499.0
Additional Memory,7.15,2721.0
Adesugata Mahou no Sannin Musume,5.22,805.0
Adieu Galaxy Express 999,7.25,4071.0
Adobe Student and Teacher Edition,5.01,246.0
Adrift in the Pacific,5.85,264.0
Adults Dunno How to Love!,5.81,4199.0
Advancer Tina,5.06,1417.0
Adventure,6.44,219.0
Adventure Boy Shadar,6.0,407.0
Adventure Hero Pluster World,6.22,296.0
Adventure Kid,5.27,829.0
Adventure Log,6.62,179.0
Adventure Without a Map,5.67,204.0
Adventure of Gamba,7.17,1769.0
Adventures On Rainbow Pond,5.96,899.0
Adventures in Beauty Wonderland,4.05,1602.0
Adventures of Little El Cid,6.22,272.0
Adventures of Pepero the Andes Boy,6.59,666.0
Adventures of the Monkey King,6.32,645.0
Adventures of the Polar Cubs,5.74,246.0
Adventuring Party: Hero of Forest,6.4,276.0
Aesop's World,5.73,193.0
Aesthetica of a Rogue Hero,6.71,223305.0
Aesthetica of a Rogue Hero Specials,6.51,21935.0
Affair of Housewife Reiko,6.29,3434.0
Afraid To Be Cool / Raise Me Up,6.04,343.0
Africa Salaryman,6.54,9754.0
African Office Worker,5.9,568.0
Afro Samurai,7.37,204023.0
Afro Samurai Pilot,6.7,5367.0
Afro Samurai the Movie,7.54,34917.0
Afro Samurai: Resurrection,7.34,62148.0
Afro-Ken,5.22,2020.0
After Class Lesson,6.35,4032.0
After Hours,5.27,133.0
After Man,5.54,107.0
After School Dice Club,6.71,21436.0
After School Mania Club,5.18,1329.0
After School Midnighters,6.15,581.0
After School in the Lounge,5.03,3595.0
After War Gundam X,7.33,16536.0
After the Rain,7.48,124499.0
After-School Emotion,5.47,208.0
After-School Hanako-kun,7.06,16505.0
After... The Animation,5.69,2842.0
Afterlost,5.49,20415.0
Aftermath,6.01,1132.0
Afternoon Blush: More than Just Pure Love Mellow,6.75,4527.0
Afternoon Class,6.55,163.0
Afureko! AR,5.27,137.0
Against,5.17,339.0
Against The Sky Supreme,7.19,780.0
Against the Gods,6.76,154.0
Against the Gods (2023),7.67,473.0
Agate,6.7,872.0
Agate 2,6.68,264.0
Agatha Christie's Great Detectives Poirot and Marple,6.85,2558.0
Age 12,6.23,6103.0
Age Man to Fuku Chin,4.75,386.0
Age of Obscure: Boubaku Jidai,5.26,209.0
Agent AIKa,5.95,14932.0
Aggretsuko,7.62,51783.0
Aggretsuko (ONA),7.64,118692.0
Aggretsuko (ONA) 2nd Season,7.73,79440.0
Aggretsuko (ONA) 3rd Season,7.79,59036.0
Aggretsuko (ONA) 4th Season,7.28,31719.0
Aggretsuko (ONA) 5th Season,7.44,15830.0
Aggretsuko: We Wish You a Metal Christmas,7.23,35692.0
Agitated Screams of Maggots,4.23,4233.0
Agitation!,5.51,557.0
Agriculture Angel BARAKI,5.14,420.0
Agriculture Angel BARAKI: Play with Ibaraki,5.43,165.0
Agriculture Angel BARAKI: Play with Ibaraki Episode 0,5.31,139.0
Aguu: Genius Dolls,5.39,2270.0
Ah My Buddha,6.43,36243.0
Ah My Buddha Katsu,6.63,26885.0
Ah My Buddha Katsu Special,6.56,7140.0
Ah! My Buddha Special,6.62,7827.0
Ah! My Goddess,7.32,78424.0
Ah! My Goddess Specials,7.5,14763.0
Ah! My Goddess: Fighting Wings,7.56,13403.0
Ah! My Goddess: Flights of Fancy,7.54,35965.0
Ah! My Goddess: Flights of Fancy Specials,7.49,13245.0
Ah! My Goddess: The Movie,7.54,23210.0
Ah! My Goddess: Together Forever,7.32,9754.0
Aharen-san wa Hakarenai,7.29,145654.0
Aharen-san wa Hakarenai Mini,6.01,967.0
Ahiru no Sora,7.27,88378.0
Ahoy!! Warera Houshou Kaizokudan☆,7.14,1107.0
Ai (ONA),2.65,3039.0
Ai Mai! Moe Can Change!,5.46,3710.0
Ai Monogatari: 9 Love Stories,6.52,1749.0
Ai Shoujo Pollyanna Story,6.93,2429.0
Ai Shoujo Pollyanna Story Specials,6.08,135.0
Ai Sky Tree 21,4.36,419.0
Ai Tenchi Muyou!,6.14,11323.0
Ai Tenchi Muyou! Recaps,5.4,2285.0
Ai Tenshi Densetsu Wedding Peach Specials,6.23,512.0
Ai Uta: Since 2007,5.27,360.0
Ai Yori Aoshi,7.1,54330.0
Ai Yori Aoshi: Enishi,7.11,33111.0
Ai Yori Aoshi: Enishi - Miyuki,6.9,9537.0
Ai Yori Aoshi: Speaking of Dreams,6.74,5058.0
Ai Zai Xiyuan Qian,6.35,280.0
Ai no Gakkou Cuore Monogatari,6.55,1015.0
Ai no Kusabi,7.05,19797.0
Ai no Kusabi (2012),6.55,15573.0
Ai no Senshi Rainbowman,6.23,577.0
Ai no Tabidachi,5.3,168.0
Ai no Wakakusa Monogatari Specials,6.25,207.0
Ai no Wakakusa Yama Monogatari,5.72,426.0
"Ai think so,",5.51,644.0
Ai to Shi,5.38,363.0
Ai wa KAT-TUN,5.12,1118.0
Ai-Mai-Mi,5.82,13677.0
Ai-Mai-Mi Mousou Catastrophe,5.96,6616.0
Ai-Mai-Mi Surgical Friends,6.04,4667.0
Ai-mai Chocolate,5.81,230.0
Aibeya The Animation,7.25,6383.0
Aigatari na Itte,6.23,114.0
Aihen Jihen,6.17,392.0
Aikagi The Animation,7.16,5794.0
Aikatsu Friends!,7.17,4012.0
Aikatsu Friends!: Kagayaki no Jewel,7.02,2106.5
Aikatsu Planet!,6.53,1197.0
Aikatsu Planet! Movie,6.39,335.0
Aikatsu Stars!,7.59,7072.0
Aikatsu Stars! Movie,7.38,2690.0
Aikatsu on Parade!,7.02,2487.0
Aikatsu on Parade! (ONA),6.64,1221.0
Aikatsu!,7.46,14815.0
Aikatsu! 10th Story: Mirai e no Starway,6.98,276.0
Aikatsu! 10th Story: Mirai e no Starway (2023),7.72,484.0
Aikatsu! Movie,7.54,4025.0
Aikatsu! Music Award: Minna de Shou wo MoracchaimaShow!,7.01,1352.0
Aikatsu!: Dai Starmiya Ichigo Matsuri Zenyasai!!,6.57,535.0
Aikatsu!: Nerawareta Mahou no Aikatsu! Card,7.25,1432.0
Aikodesho,5.0,200.0
Ail Maniax: Inma Seifukugari & Majogari no Yoru ni,5.28,1145.0
Aim for the Ace!,7.06,4034.0
Aim for the Ace!: Another Match,7.11,1572.0
Aim for the Ace!: The Movie,6.89,2255.0
Aimai Elegy,6.5,1937.0
Ain't Seen Nothing Like This,6.22,182.0
Ainone,4.73,504.0
Aioiaioiaioi,4.78,203.0
Air,7.27,154801.0
Air Bound,5.51,249.0
Air Gear,7.48,181359.0
Air Gear: Kuro no Hane to Nemuri no Mori - Break on the Sky,7.57,32915.0
Air Gear: Special Trick,7.26,25157.0
Air Master,6.95,16535.0
Air in Summer,7.28,24303.0
Air: Memories,6.24,3046.0
Air: The Motion Picture,7.21,33215.0
Airy Me,6.32,2856.0
Aisai,6.89,649.0
Aisai Nikki,6.4,4866.0
Aishen Qiaokeli-ing: Wanjie Jinian,6.43,1255.0
Aishiteru (2010),5.18,254.0
Aishiteruze Baby★★,7.44,54149.0
Aisu,5.38,134.0
Aisubeki Mirai e,6.26,939.0
Aitakute,6.54,319.0
Aitsu to Lullaby: Suiyobi no Cinderella,5.79,554.0
Aiue,6.53,454.0
Aiura,6.64,40127.0
Ajimu: Kaigan Monogatari,6.32,6279.0
Ajin OVA,7.17,18541.0
Ajin Part 2 OVA,7.02,5869.0
Ajin Senshi,5.93,455.0
Ajin: Demi-Human,7.39,298392.0
Ajin: Demi-Human 2nd Season,7.57,173005.0
Ajin: Demi-Human Movie 1: Compel,7.43,17031.0
Ajin: Demi-Human Movie 2: Confront,7.22,6407.0
Ajin: Demi-Human Movie 3: Collide,7.24,5825.0
Ajisai no Chiru Koro ni,6.49,4860.0
AkaKill! Theater,6.52,28309.0
Akadou Suzunosuke,6.13,470.0
Akage no Anne Specials,6.22,310.0
Akage no Anne: Green Gables e no Michi,6.68,832.0
Akagi,7.92,45468.0
Akahori's Heretical Hour Love Game,6.1,1936.0
Akai Boushi,5.28,430.0
Akai Hana Shiroi Hana,5.54,306.0
Akai Hayate,5.29,719.0
Akai Hoshi Aoi Hoshi: Tenmon Carat no Hoshi kara,5.68,123.0
Akai Ito,6.41,1295.0
Akai Jitensha,5.03,230.0
Akai Yama Aoi Yama Shiroi Yama,5.45,161.0
Akakichi no Eleven,6.6,604.0
Akame ga Kill!,7.47,1321434.0
Akame ga Kill! Recap,6.74,16261.0
Akane Iro ni Somaru Saka,6.38,81869.0
Akane Iro ni Somaru Saka Hardcore OVA,6.38,22071.0
Akane Maniax,5.73,9599.0
Akane wa Tsumare Somerareru,6.63,4350.0
Akaoni to Aooni no Tango,5.11,313.0
Akashic Re:cords,6.43,1109.0
Akashic Records of Bastard Magic Instructor,7.13,421636.0
Akazukin Chacha OVA,7.01,1087.0
Ake-Vono,5.11,256.0
Akebi no Hana: Maho,5.73,2136.0
Akebi's Sailor Uniform,7.66,70804.0
Aki Sora,5.87,64865.0
Aki no Kanade,6.94,10666.0
Aki-Sora: In a Dream,5.98,45738.0
Akiba Girls,6.67,6533.0
Akiba Maid War,7.58,65712.0
Akiba's Trip The Animation,6.49,62403.0
Akiba-chan,5.38,1190.0
Akikan!,6.12,63052.0
Akikan! OVA,6.21,13395.0
Akiko,5.33,1079.0
Akina to Onsen de H Shiyo!,6.42,3684.0
Akira,8.16,519751.0
Akisutozeneko,4.62,174.0
Akogare Ranraran,6.28,403.0
Aku no Onna Kanbu: Full Moon Night R,6.81,2949.0
Akubi Girl,5.61,289.0
Akudama Drive,7.58,205360.0
Akuemon,5.97,1114.0
Akuma Tou no Prince: Mitsume ga Tooru,5.87,537.0
Akuma no Memumemu-chan,5.56,1909.0
Akuma-kun,6.4,860.0
Akuma-kun (Movie),5.82,720.0
Akuma-kun (ONA),6.69,4795.0
Akuma-kun: Youkoso Akuma Land e!!,5.78,455.0
Akuyaku Reijou nanode Last Boss wo Kattemimashita Mini,5.8,404.0
Aladdin and the Wonderful Lamp,6.14,1021.0
Alakazam the Great,6.23,1393.0
Alba,5.67,198.0
Alche Miss Katrina,5.92,141.0
Alderamin on the Sky,7.64,161337.0
Aldnoah.Zero,7.15,239225.0
Aldnoah.Zero Extra Archives,6.59,4899.0
Alexander's Decision,5.56,201.0
Alfred J. Kwak,7.35,3148.0
Algernon,6.04,111.0
Algo,5.58,163.0
Ali Baba to 40-hiki no Touzoku,5.47,1012.0
Alibi Bunny,6.27,210.0
Alice,5.28,994.0
Alice & Zoroku,7.1,49651.0
Alice Gear Aegis Expansion,5.7,2928.0
Alice Gear Aegis: Doki! Actress Darake no Mermaid Grand Prix♥,5.52,1057.0
Alice SOS,6.0,567.0
Alice Tantei Kyoku,5.92,137.0
Alice in Borderland,7.27,24678.0
Alice in Cyberland,4.6,1301.0
Alice in Deadly School,5.17,4182.0
Alice in Dreamland,4.83,500.0
Alice in Voodooland,5.58,679.0
Alice in Wonderland,6.41,1369.0
Alice or Alice,5.35,14984.0
