title_english,Horror,Boys Love,Suspense,Adventure,Girls Love,Sci-Fi,Erotica,Hentai,Fantasy,Romance,Drama,Avant Garde,Award Winning,Sports,Action,Slice of Life,Comedy,Mystery,Ecchi,Gourmet,Supernatural,Cluster
Power Stone,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,13
Princess Mononoke,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,2
RahXephon,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,3
Samurai 7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Scrapped Princess,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,2
s-CRY-ed,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
Lunar Legend Tsukihime,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,12
Slam Dunk,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,12
Strange Dawn,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,13
Tactics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,12
Tenjho Tenge,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,11
Tokyo Underground,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Triangle Heart: Sweet Songs Forever,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7
Tsubasa RESERVoir CHRoNiCLE,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2
Ultra Maniac,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,10
Ultra Maniac OVA,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,10
Vandread,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
